Subject;Group;Map;FOnset;LOffset;NumTF;TfCentroid;MeanCorr;Gev;BCorr;TfBCorr;GfpTfBCorr;MaxGfp;TfMaxGfp;MeanGfp;MeanDur;TimeCov;SegDensity
Subject33;Group2;Map1;106;154;42;126.834830;0.644665;0.054263;0.816099;127;1.130913;1.155734;123;0.924027;13.601471;0.512195;0.024390
Subject33;Group2;Map2;73;105;33;86.844086;0.026101;0.017842;0.483848;105;0.865679;1.896964;78;1.318564;33.000000;0.402439;0.012195
Subject33;Group2;Map3;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject33;Group2;Map4;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject33;Group2;Map5;143;149;7;146.075494;0.568861;0.007440;0.630864;149;1.016635;1.057727;147;1.007732;7.000000;0.085366;0.012195
Subject34;Group2;Map1;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject34;Group2;Map2;73;120;48;97.807231;0.295694;0.040551;0.831593;109;2.560305;2.637607;107;1.984454;48.000000;0.585366;0.012195
Subject34;Group2;Map3;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject34;Group2;Map4;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject34;Group2;Map5;121;154;34;139.067469;0.917239;0.145787;0.961317;131;3.305816;4.111704;152;3.421419;34.000000;0.414634;0.012195
Subject35;Group2;Map1;81;94;14;87.202752;-0.078959;0.002289;0.655680;94;1.054170;1.154042;83;0.986929;14.000000;0.170732;0.012195
Subject35;Group2;Map2;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject35;Group2;Map3;73;80;8;75.918994;0.258880;0.003594;0.771675;73;1.774332;1.774332;73;1.145226;8.000000;0.097561;0.012195
Subject35;Group2;Map4;95;143;33;114.889317;0.886489;0.095637;0.954208;106;2.895818;2.920408;105;1.967797;16.124515;0.402439;0.024390
Subject35;Group2;Map5;115;154;27;133.481169;0.823623;0.032052;0.910961;115;2.020570;2.020570;115;1.395914;13.266499;0.329268;0.024390
Subject36;Group2;Map1;73;78;6;75.813590;0.572889;0.002169;0.743255;78;0.926348;0.926348;78;0.713629;6.000000;0.073171;0.012195
